,name,smi_rd,smi_oe,inch_rd,inch_oe,iso_arom,iso_bond_order,iso_arom_bond_order
360,DrugBank_2682,1,1,3,3,True,True,True
361,DrugBank_2684,1,1,3,3,True,True,True
362,DrugBank_2686,1,1,3,3,True,True,True
363,DrugBank_2687,0,0,3,3,False,False,False
364,DrugBank_5285,1,1,3,3,True,True,True
365,DrugBank_5313,1,1,3,3,True,True,True
366,DrugBank_2728,1,1,3,3,True,True,True
367,DrugBank_5319,1,1,3,3,True,True,True
368,DrugBank_5323,1,1,3,3,True,True,True
369,DrugBank_5326,1,1,3,3,True,True,True
370,DrugBank_5329,1,1,3,3,True,True,True
